VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	10:58:23	01/26/2015

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
1/26/2015	58:26.4	0.606	1.077
1/26/2015	58:26.4	0.606	1.077
1/26/2015	58:26.9	0.606	1.076
1/26/2015	58:27.4	0.606	1.077
1/26/2015	58:27.9	0.606	1.077
1/26/2015	58:28.4	0.606	1.077
1/26/2015	58:28.9	0.606	1.076
1/26/2015	58:29.4	0.606	1.076
1/26/2015	58:29.9	0.606	1.077
1/26/2015	58:30.4	0.606	1.076
1/26/2015	58:30.9	0.606	1.076
1/26/2015	58:31.4	0.606	1.076
1/26/2015	58:31.9	0.606	1.076
1/26/2015	58:32.4	0.606	1.076
1/26/2015	58:32.9	0.606	1.075
1/26/2015	58:33.4	0.606	1.075
1/26/2015	58:33.9	0.606	1.075
1/26/2015	58:34.4	0.606	1.075
1/26/2015	58:34.9	0.606	1.068
1/26/2015	58:35.4	0.606	0.845
1/26/2015	58:35.9	0.606	0.753
1/26/2015	58:36.4	0.606	0.716
1/26/2015	58:36.9	0.606	0.78
1/26/2015	58:37.4	0.606	0.897
1/26/2015	58:37.9	0.606	0.953
1/26/2015	58:38.4	0.606	0.939
1/26/2015	58:38.9	0.606	0.941
1/26/2015	58:39.4	0.606	0.882
1/26/2015	58:39.9	0.606	0.871
1/26/2015	58:40.4	0.606	0.904
1/26/2015	58:40.9	0.606	0.887
1/26/2015	58:41.4	0.606	0.895
1/26/2015	58:41.9	0.606	0.881
1/26/2015	58:42.4	0.606	0.904
1/26/2015	58:42.9	0.606	0.892
1/26/2015	58:43.4	0.606	0.883
1/26/2015	58:43.9	0.606	0.889
1/26/2015	58:44.4	0.606	0.92
1/26/2015	58:44.9	0.606	0.945
1/26/2015	58:45.4	0.606	0.932
1/26/2015	58:45.9	0.606	0.934
1/26/2015	58:46.4	0.606	0.94
1/26/2015	58:46.9	0.606	0.936
1/26/2015	58:47.4	0.606	0.941
1/26/2015	58:47.9	0.606	0.947
1/26/2015	58:48.4	0.606	0.968
1/26/2015	58:48.9	0.606	0.969
1/26/2015	58:49.4	0.606	0.974
1/26/2015	58:49.9	0.606	0.968
1/26/2015	58:50.4	0.606	0.982
1/26/2015	58:50.9	0.606	0.974
1/26/2015	58:51.4	0.606	0.971
1/26/2015	58:51.9	0.606	0.974
1/26/2015	58:52.4	0.606	0.982
1/26/2015	58:52.9	0.606	0.999
1/26/2015	58:53.4	0.606	0.992
1/26/2015	58:53.9	0.607	0.979
1/26/2015	58:54.4	0.607	0.986
1/26/2015	58:54.9	0.607	0.978
1/26/2015	58:55.4	0.606	0.99
1/26/2015	58:55.9	0.606	0.988
1/26/2015	58:56.4	0.606	0.983
1/26/2015	58:56.9	0.606	0.973
1/26/2015	58:57.4	0.606	0.973
1/26/2015	58:57.9	0.606	0.977
1/26/2015	58:58.4	0.606	0.982
1/26/2015	58:58.9	0.606	0.981
1/26/2015	58:59.4	0.606	0.978
1/26/2015	58:59.9	0.606	0.979
1/26/2015	59:00.4	0.606	0.998
1/26/2015	59:00.9	0.606	0.994
1/26/2015	59:01.4	0.606	1.001
1/26/2015	59:01.9	0.606	1.019
1/26/2015	59:02.4	0.606	1.009
