VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	11:06:08	01/26/2015

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
01/26/2015	11:06:08.0	     0.592	     1.070
01/26/2015	11:06:08.5	     0.592	     1.072
01/26/2015	11:06:09.0	     0.592	     1.073
01/26/2015	11:06:09.5	     0.593	     1.072
01/26/2015	11:06:10.0	     0.593	     1.073
01/26/2015	11:06:10.5	     0.594	     1.073
01/26/2015	11:06:11.0	     0.594	     1.073
01/26/2015	11:06:11.5	     0.594	     1.073
01/26/2015	11:06:12.0	     0.595	     1.073
01/26/2015	11:06:12.5	     0.595	     1.072
01/26/2015	11:06:13.0	     0.595	     1.072
01/26/2015	11:06:13.5	     0.595	     1.072
01/26/2015	11:06:14.0	     0.596	     1.071
01/26/2015	11:06:14.5	     0.596	     1.071
01/26/2015	11:06:15.0	     0.597	     1.071
01/26/2015	11:06:15.5	     0.597	     1.064
01/26/2015	11:06:16.0	     0.598	     0.852
01/26/2015	11:06:16.5	     0.598	     0.741
01/26/2015	11:06:17.0	     0.598	     0.730
01/26/2015	11:06:17.5	     0.599	     0.820
01/26/2015	11:06:18.0	     0.599	     0.936
01/26/2015	11:06:18.5	     0.599	     0.947
01/26/2015	11:06:19.0	     0.599	     0.943
01/26/2015	11:06:19.5	     0.599	     0.901
01/26/2015	11:06:20.0	     0.599	     0.888
01/26/2015	11:06:20.5	     0.600	     0.866
01/26/2015	11:06:21.0	     0.600	     0.869
01/26/2015	11:06:21.5	     0.601	     0.875
01/26/2015	11:06:22.0	     0.601	     0.869
01/26/2015	11:06:22.5	     0.601	     0.862
01/26/2015	11:06:23.0	     0.602	     0.893
01/26/2015	11:06:23.5	     0.602	     0.878
01/26/2015	11:06:24.0	     0.602	     0.911
01/26/2015	11:06:24.5	     0.602	     0.919
01/26/2015	11:06:25.0	     0.602	     0.911
01/26/2015	11:06:25.5	     0.602	     0.939
01/26/2015	11:06:26.0	     0.602	     0.944
01/26/2015	11:06:26.5	     0.602	     0.932
01/26/2015	11:06:27.0	     0.602	     0.943
01/26/2015	11:06:27.5	     0.602	     0.928
01/26/2015	11:06:28.0	     0.601	     0.961
01/26/2015	11:06:28.5	     0.601	     0.945
01/26/2015	11:06:29.0	     0.601	     0.944
01/26/2015	11:06:29.5	     0.601	     0.947
01/26/2015	11:06:30.0	     0.601	     0.959
01/26/2015	11:06:30.5	     0.601	     0.937
01/26/2015	11:06:31.0	     0.601	     0.950
01/26/2015	11:06:31.5	     0.601	     0.954
01/26/2015	11:06:32.0	     0.601	     0.951
01/26/2015	11:06:32.5	     0.601	     0.953
01/26/2015	11:06:33.0	     0.601	     0.947
01/26/2015	11:06:33.5	     0.601	     0.950
01/26/2015	11:06:34.0	     0.601	     0.983
01/26/2015	11:06:34.5	     0.601	     0.984
01/26/2015	11:06:35.0	     0.601	     0.965
01/26/2015	11:06:35.5	     0.602	     0.969
01/26/2015	11:06:36.0	     0.602	     0.963
01/26/2015	11:06:36.5	     0.602	     0.980
01/26/2015	11:06:37.0	     0.602	     0.983
01/26/2015	11:06:37.5	     0.602	     0.984
01/26/2015	11:06:38.0	     0.602	     0.975
01/26/2015	11:06:38.5	     0.602	     0.970
01/26/2015	11:06:39.0	     0.602	     0.983
01/26/2015	11:06:39.5	     0.602	     0.999
01/26/2015	11:06:40.0	     0.602	     0.985
01/26/2015	11:06:40.5	     0.602	     0.980
01/26/2015	11:06:41.0	     0.602	     0.977
01/26/2015	11:06:41.5	     0.602	     0.991
01/26/2015	11:06:42.0	     0.602	     0.981
01/26/2015	11:06:42.5	     0.602	     0.983
01/26/2015	11:06:43.0	     0.602	     0.980
01/26/2015	11:06:43.5	     0.602	     0.984
01/26/2015	11:06:44.0	     0.602	     0.994
01/26/2015	11:06:44.5	     0.602	     0.983
01/26/2015	11:06:45.0	     0.602	     0.979
01/26/2015	11:06:45.5	     0.602	     0.994
01/26/2015	11:06:46.0	     0.602	     1.003
01/26/2015	11:06:46.5	     0.602	     0.994
01/26/2015	11:06:47.0	     0.602	     0.986
01/26/2015	11:06:47.5	     0.602	     0.988
01/26/2015	11:06:48.0	     0.602	     0.981
01/26/2015	11:06:48.5	     0.602	     0.982
01/26/2015	11:06:49.0	     0.602	     0.980
01/26/2015	11:06:49.5	     0.602	     0.980
01/26/2015	11:06:50.0	     0.602	     0.982
01/26/2015	11:06:50.5	     0.602	     0.986
01/26/2015	11:06:51.0	     0.602	     0.988
01/26/2015	11:06:51.5	     0.602	     0.987
01/26/2015	11:06:52.0	     0.602	     0.994
01/26/2015	11:06:52.5	     0.602	     1.001
01/26/2015	11:06:53.0	     0.602	     1.009
01/26/2015	11:06:53.5	     0.602	     1.003
01/26/2015	11:06:54.0	     0.602	     1.009
01/26/2015	11:06:54.5	     0.602	     1.008
01/26/2015	11:06:55.0	     0.602	     1.005
01/26/2015	11:06:55.5	     0.602	     1.003
01/26/2015	11:06:56.0	     0.602	     1.005
01/26/2015	11:06:56.5	     0.602	     1.012
01/26/2015	11:06:57.0	     0.602	     1.013
01/26/2015	11:06:57.5	     0.602	     1.016
01/26/2015	11:06:58.0	     0.602	     1.019
01/26/2015	11:06:58.5	     0.602	     1.018
01/26/2015	11:06:59.0	     0.602	     1.023
01/26/2015	11:06:59.5	     0.602	     1.025
01/26/2015	11:07:00.0	     0.602	     1.031
01/26/2015	11:07:00.5	     0.602	     1.029
01/26/2015	11:07:01.0	     0.602	     1.030
01/26/2015	11:07:01.5	     0.602	     1.028
01/26/2015	11:07:02.0	     0.602	     1.037
01/26/2015	11:07:02.5	     0.602	     1.038
01/26/2015	11:07:03.0	     0.602	     1.032
01/26/2015	11:07:03.5	     0.602	     1.046
01/26/2015	11:07:04.0	     0.602	     1.048
01/26/2015	11:07:04.5	     0.602	     1.046
01/26/2015	11:07:05.0	     0.602	     1.051
01/26/2015	11:07:05.5	     0.602	     1.050
01/26/2015	11:07:06.0	     0.602	     1.051
01/26/2015	11:07:06.5	     0.602	     1.054
01/26/2015	11:07:07.0	     0.602	     1.054
01/26/2015	11:07:07.5	     0.602	     1.056
01/26/2015	11:07:08.0	     0.602	     1.057
01/26/2015	11:07:08.5	     0.602	     1.058
01/26/2015	11:07:09.0	     0.602	     1.060
01/26/2015	11:07:09.5	     0.602	     1.062
01/26/2015	11:07:10.0	     0.602	     1.065
01/26/2015	11:07:10.5	     0.602	     1.069
01/26/2015	11:07:11.0	     0.602	     1.073
01/26/2015	11:07:11.5	     0.602	     1.078
