VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	11:13:31	01/26/2015

USER	

START COMMENT

END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
01/26/2015	11:13:33.8	     0.604	     1.073
01/26/2015	11:13:34.3	     0.604	     1.078
01/26/2015	11:13:34.8	     0.604	     1.078
01/26/2015	11:13:35.3	     0.603	     1.078
01/26/2015	11:13:35.8	     0.603	     1.078
01/26/2015	11:13:36.3	     0.603	     1.078
01/26/2015	11:13:36.8	     0.603	     1.079
01/26/2015	11:13:37.3	     0.603	     1.078
01/26/2015	11:13:37.8	     0.603	     1.077
01/26/2015	11:13:38.3	     0.603	     1.078
01/26/2015	11:13:38.8	     0.603	     1.077
01/26/2015	11:13:39.3	     0.603	     1.077
01/26/2015	11:13:39.8	     0.603	     1.077
01/26/2015	11:13:40.3	     0.603	     1.076
01/26/2015	11:13:40.8	     0.603	     1.076
01/26/2015	11:13:41.3	     0.603	     1.076
01/26/2015	11:13:41.8	     0.603	     1.076
01/26/2015	11:13:42.3	     0.603	     1.076
01/26/2015	11:13:42.8	     0.603	     0.720
01/26/2015	11:13:43.3	     0.603	     0.789
01/26/2015	11:13:43.8	     0.603	     0.704
01/26/2015	11:13:44.3	     0.603	     0.764
01/26/2015	11:13:44.8	     0.602	     0.883
01/26/2015	11:13:45.3	     0.602	     0.940
01/26/2015	11:13:45.8	     0.602	     0.891
01/26/2015	11:13:46.3	     0.602	     0.855
01/26/2015	11:13:46.8	     0.602	     0.824
01/26/2015	11:13:47.3	     0.602	     0.830
01/26/2015	11:13:47.8	     0.602	     0.831
01/26/2015	11:13:48.3	     0.602	     0.874
01/26/2015	11:13:48.8	     0.602	     0.874
01/26/2015	11:13:49.3	     0.602	     0.882
01/26/2015	11:13:49.8	     0.602	     0.873
01/26/2015	11:13:50.3	     0.602	     0.898
01/26/2015	11:13:50.8	     0.602	     0.906
01/26/2015	11:13:51.3	     0.602	     0.909
01/26/2015	11:13:51.8	     0.601	     0.925
01/26/2015	11:13:52.3	     0.601	     0.926
01/26/2015	11:13:52.8	     0.601	     0.913
01/26/2015	11:13:53.3	     0.601	     0.919
01/26/2015	11:13:53.8	     0.601	     0.928
01/26/2015	11:13:54.3	     0.601	     0.953
01/26/2015	11:13:54.8	     0.601	     0.945
01/26/2015	11:13:55.3	     0.601	     0.948
01/26/2015	11:13:55.8	     0.601	     0.976
01/26/2015	11:13:56.3	     0.601	     0.955
01/26/2015	11:13:56.8	     0.601	     0.940
01/26/2015	11:13:57.3	     0.601	     0.962
01/26/2015	11:13:57.8	     0.601	     0.963
01/26/2015	11:13:58.3	     0.601	     0.962
01/26/2015	11:13:58.8	     0.601	     0.981
01/26/2015	11:13:59.3	     0.601	     0.968
01/26/2015	11:13:59.8	     0.601	     0.977
01/26/2015	11:14:00.3	     0.601	     0.968
01/26/2015	11:14:00.8	     0.601	     0.976
01/26/2015	11:14:01.3	     0.601	     0.978
01/26/2015	11:14:01.8	     0.601	     0.982
01/26/2015	11:14:02.3	     0.601	     0.969
01/26/2015	11:14:02.8	     0.601	     0.981
01/26/2015	11:14:03.3	     0.601	     0.995
01/26/2015	11:14:03.8	     0.601	     0.997
01/26/2015	11:14:04.3	     0.601	     0.981
