VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	12:09:43	01/26/2015

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
01/26/2015	12:09:43.4	     0.605	     1.079
01/26/2015	12:09:43.9	     0.605	     1.084
01/26/2015	12:09:44.4	     0.605	     1.084
01/26/2015	12:09:44.9	     0.605	     1.083
01/26/2015	12:09:45.4	     0.604	     1.082
01/26/2015	12:09:45.9	     0.604	     1.082
01/26/2015	12:09:46.4	     0.604	     1.082
01/26/2015	12:09:46.9	     0.604	     1.082
01/26/2015	12:09:47.4	     0.604	     1.082
01/26/2015	12:09:47.9	     0.604	     1.081
01/26/2015	12:09:48.4	     0.604	     1.080
01/26/2015	12:09:48.9	     0.604	     1.081
01/26/2015	12:09:49.4	     0.604	     1.080
01/26/2015	12:09:49.9	     0.604	     1.078
01/26/2015	12:09:50.4	     0.604	     1.075
01/26/2015	12:09:50.9	     0.604	     1.076
01/26/2015	12:09:51.4	     0.604	     1.076
01/26/2015	12:09:51.9	     0.604	     1.077
01/26/2015	12:09:52.4	     0.604	     1.077
01/26/2015	12:09:52.9	     0.604	     1.078
01/26/2015	12:09:53.4	     0.604	     1.077
01/26/2015	12:09:53.9	     0.604	     1.077
01/26/2015	12:09:54.4	     0.604	     1.077
01/26/2015	12:09:54.9	     0.604	     1.057
01/26/2015	12:09:55.4	     0.604	     0.757
01/26/2015	12:09:55.9	     0.604	     0.723
01/26/2015	12:09:56.4	     0.604	     0.798
01/26/2015	12:09:56.9	     0.604	     0.867
01/26/2015	12:09:57.4	     0.604	     0.950
01/26/2015	12:09:57.9	     0.604	     0.953
01/26/2015	12:09:58.4	     0.603	     0.891
01/26/2015	12:09:58.9	     0.603	     0.875
01/26/2015	12:09:59.4	     0.603	     0.873
01/26/2015	12:09:59.9	     0.603	     0.871
01/26/2015	12:10:00.4	     0.603	     0.897
01/26/2015	12:10:00.9	     0.603	     0.892
01/26/2015	12:10:01.4	     0.603	     0.872
01/26/2015	12:10:01.9	     0.603	     0.867
01/26/2015	12:10:02.4	     0.603	     0.875
01/26/2015	12:10:02.9	     0.603	     0.891
01/26/2015	12:10:03.4	     0.603	     0.897
01/26/2015	12:10:03.9	     0.603	     0.902
01/26/2015	12:10:04.4	     0.603	     0.911
01/26/2015	12:10:04.9	     0.603	     0.918
01/26/2015	12:10:05.4	     0.602	     0.934
01/26/2015	12:10:05.9	     0.602	     0.937
01/26/2015	12:10:06.4	     0.602	     0.944
01/26/2015	12:10:06.9	     0.602	     0.957
01/26/2015	12:10:07.4	     0.602	     0.957
01/26/2015	12:10:07.9	     0.602	     0.965
01/26/2015	12:10:08.4	     0.602	     0.960
01/26/2015	12:10:08.9	     0.602	     0.970
01/26/2015	12:10:09.4	     0.602	     0.959
01/26/2015	12:10:09.9	     0.602	     0.985
01/26/2015	12:10:10.4	     0.602	     0.969
01/26/2015	12:10:10.9	     0.602	     0.974
01/26/2015	12:10:11.4	     0.602	     0.971
01/26/2015	12:10:11.9	     0.602	     0.970
01/26/2015	12:10:12.4	     0.602	     0.985
01/26/2015	12:10:12.9	     0.602	     0.977
01/26/2015	12:10:13.4	     0.602	     0.979
01/26/2015	12:10:13.9	     0.602	     0.977
01/26/2015	12:10:14.4	     0.602	     0.981
01/26/2015	12:10:14.9	     0.602	     0.983
01/26/2015	12:10:15.4	     0.602	     0.988
01/26/2015	12:10:15.9	     0.602	     0.990
01/26/2015	12:10:16.4	     0.602	     0.994
01/26/2015	12:10:16.9	     0.602	     0.999
01/26/2015	12:10:17.4	     0.602	     1.009
01/26/2015	12:10:17.9	     0.602	     0.996
01/26/2015	12:10:18.4	     0.602	     0.997
01/26/2015	12:10:18.9	     0.602	     1.003
01/26/2015	12:10:19.4	     0.602	     0.994
01/26/2015	12:10:19.9	     0.602	     1.011
01/26/2015	12:10:20.4	     0.602	     1.015
01/26/2015	12:10:20.9	     0.602	     1.007
01/26/2015	12:10:21.4	     0.602	     1.008
01/26/2015	12:10:21.9	     0.602	     1.004
01/26/2015	12:10:22.4	     0.602	     0.998
01/26/2015	12:10:22.9	     0.602	     1.000
01/26/2015	12:10:23.4	     0.602	     1.005
01/26/2015	12:10:23.9	     0.602	     1.002
01/26/2015	12:10:24.4	     0.602	     1.003
01/26/2015	12:10:24.9	     0.602	     0.999
01/26/2015	12:10:25.4	     0.602	     0.998
01/26/2015	12:10:25.9	     0.602	     0.997
01/26/2015	12:10:26.4	     0.602	     0.997
01/26/2015	12:10:26.9	     0.601	     0.997
01/26/2015	12:10:27.4	     0.601	     0.998
01/26/2015	12:10:27.9	     0.601	     0.999
01/26/2015	12:10:28.4	     0.601	     0.999
01/26/2015	12:10:28.9	     0.601	     0.999
01/26/2015	12:10:29.4	     0.601	     1.001
01/26/2015	12:10:29.9	     0.601	     1.001
01/26/2015	12:10:30.4	     0.601	     1.002
01/26/2015	12:10:30.9	     0.601	     1.002
01/26/2015	12:10:31.4	     0.601	     1.003
01/26/2015	12:10:31.9	     0.601	     1.003
01/26/2015	12:10:32.4	     0.601	     1.006
01/26/2015	12:10:32.9	     0.601	     1.007
01/26/2015	12:10:33.4	     0.601	     1.008
01/26/2015	12:10:33.9	     0.601	     1.013
01/26/2015	12:10:34.4	     0.601	     1.014
01/26/2015	12:10:34.9	     0.601	     1.014
01/26/2015	12:10:35.4	     0.601	     1.023
01/26/2015	12:10:35.9	     0.601	     1.033
01/26/2015	12:10:36.4	     0.601	     1.033
01/26/2015	12:10:36.9	     0.601	     1.033
01/26/2015	12:10:37.4	     0.601	     1.031
01/26/2015	12:10:37.9	     0.601	     1.031
01/26/2015	12:10:38.4	     0.600	     1.036
01/26/2015	12:10:38.9	     0.600	     1.043
01/26/2015	12:10:39.4	     0.600	     1.044
01/26/2015	12:10:39.9	     0.600	     1.041
01/26/2015	12:10:40.4	     0.600	     1.046
01/26/2015	12:10:40.9	     0.600	     1.048
01/26/2015	12:10:41.4	     0.600	     1.052
01/26/2015	12:10:41.9	     0.600	     1.053
01/26/2015	12:10:42.4	     0.600	     1.045
