VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	11:21:31	01/26/2015

USER	

START COMMENT

END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
01/26/2015	11:21:34.2	     0.602	     1.068
01/26/2015	11:21:34.7	     0.602	     1.075
01/26/2015	11:21:35.2	     0.602	     1.074
01/26/2015	11:21:35.7	     0.602	     1.074
01/26/2015	11:21:36.2	     0.601	     1.074
01/26/2015	11:21:36.7	     0.601	     1.074
01/26/2015	11:21:37.2	     0.601	     1.074
01/26/2015	11:21:37.7	     0.601	     1.075
01/26/2015	11:21:38.2	     0.601	     1.074
01/26/2015	11:21:38.7	     0.601	     1.075
01/26/2015	11:21:39.2	     0.601	     1.075
01/26/2015	11:21:39.7	     0.601	     1.075
01/26/2015	11:21:40.2	     0.601	     1.075
01/26/2015	11:21:40.7	     0.601	     1.075
01/26/2015	11:21:41.2	     0.601	     1.072
01/26/2015	11:21:41.7	     0.601	     1.072
01/26/2015	11:21:42.2	     0.601	     1.071
01/26/2015	11:21:42.7	     0.601	     1.071
01/26/2015	11:21:43.2	     0.601	     1.072
01/26/2015	11:21:43.7	     0.601	     1.071
01/26/2015	11:21:44.2	     0.601	     1.072
01/26/2015	11:21:44.7	     0.601	     1.072
01/26/2015	11:21:45.2	     0.601	     1.073
01/26/2015	11:21:45.7	     0.601	     0.988
01/26/2015	11:21:46.2	     0.601	     0.694
01/26/2015	11:21:46.7	     0.601	     0.707
01/26/2015	11:21:47.2	     0.601	     0.722
01/26/2015	11:21:47.7	     0.601	     0.835
01/26/2015	11:21:48.2	     0.601	     0.941
01/26/2015	11:21:48.7	     0.600	     0.922
01/26/2015	11:21:49.2	     0.600	     0.890
01/26/2015	11:21:49.7	     0.600	     0.880
01/26/2015	11:21:50.2	     0.600	     0.833
01/26/2015	11:21:50.7	     0.600	     0.823
01/26/2015	11:21:51.2	     0.600	     0.820
01/26/2015	11:21:51.7	     0.600	     0.832
01/26/2015	11:21:52.2	     0.600	     0.840
01/26/2015	11:21:52.7	     0.600	     0.856
01/26/2015	11:21:53.2	     0.600	     0.862
01/26/2015	11:21:53.7	     0.600	     0.874
01/26/2015	11:21:54.2	     0.600	     0.877
01/26/2015	11:21:54.7	     0.600	     0.900
01/26/2015	11:21:55.2	     0.600	     0.904
01/26/2015	11:21:55.7	     0.600	     0.909
01/26/2015	11:21:56.2	     0.600	     0.907
01/26/2015	11:21:56.7	     0.600	     0.914
01/26/2015	11:21:57.2	     0.600	     0.933
01/26/2015	11:21:57.7	     0.600	     0.949
01/26/2015	11:21:58.2	     0.600	     0.944
01/26/2015	11:21:58.7	     0.600	     0.946
01/26/2015	11:21:59.2	     0.600	     0.949
01/26/2015	11:21:59.7	     0.600	     0.960
01/26/2015	11:22:00.2	     0.600	     0.982
01/26/2015	11:22:00.7	     0.600	     0.970
01/26/2015	11:22:01.2	     0.599	     0.964
01/26/2015	11:22:01.7	     0.599	     0.974
01/26/2015	11:22:02.2	     0.599	     0.975
01/26/2015	11:22:02.7	     0.599	     0.996
01/26/2015	11:22:03.2	     0.599	     0.973
01/26/2015	11:22:03.7	     0.599	     0.972
01/26/2015	11:22:04.2	     0.599	     0.973
01/26/2015	11:22:04.7	     0.599	     0.979
01/26/2015	11:22:05.2	     0.599	     0.979
01/26/2015	11:22:05.7	     0.599	     0.993
01/26/2015	11:22:06.2	     0.599	     0.979
01/26/2015	11:22:06.7	     0.599	     0.995
01/26/2015	11:22:07.2	     0.599	     1.011
01/26/2015	11:22:07.7	     0.599	     1.001
01/26/2015	11:22:08.2	     0.599	     1.011
01/26/2015	11:22:08.7	     0.599	     1.020
01/26/2015	11:22:09.2	     0.599	     1.016
01/26/2015	11:22:09.7	     0.599	     1.011
01/26/2015	11:22:10.2	     0.599	     1.006
01/26/2015	11:22:10.7	     0.599	     0.987
01/26/2015	11:22:11.2	     0.599	     0.998
01/26/2015	11:22:11.7	     0.599	     0.995
01/26/2015	11:22:12.2	     0.599	     0.992
01/26/2015	11:22:12.7	     0.599	     0.990
01/26/2015	11:22:13.2	     0.599	     0.992
01/26/2015	11:22:13.7	     0.599	     0.995
01/26/2015	11:22:14.2	     0.599	     0.992
01/26/2015	11:22:14.7	     0.599	     0.997
01/26/2015	11:22:15.2	     0.599	     1.006
01/26/2015	11:22:15.7	     0.599	     0.994
01/26/2015	11:22:16.2	     0.599	     0.996
01/26/2015	11:22:16.7	     0.599	     0.994
01/26/2015	11:22:17.2	     0.599	     0.996
01/26/2015	11:22:17.7	     0.599	     0.997
01/26/2015	11:22:18.2	     0.599	     0.996
01/26/2015	11:22:18.7	     0.599	     0.997
01/26/2015	11:22:19.2	     0.599	     0.997
01/26/2015	11:22:19.7	     0.599	     0.998
01/26/2015	11:22:20.2	     0.599	     0.998
01/26/2015	11:22:20.7	     0.599	     1.000
01/26/2015	11:22:21.2	     0.599	     1.000
01/26/2015	11:22:21.7	     0.599	     1.002
01/26/2015	11:22:22.2	     0.599	     1.003
01/26/2015	11:22:22.7	     0.599	     1.007
01/26/2015	11:22:23.2	     0.599	     1.008
01/26/2015	11:22:23.7	     0.599	     1.011
01/26/2015	11:22:24.2	     0.599	     1.011
01/26/2015	11:22:24.7	     0.599	     1.015
01/26/2015	11:22:25.2	     0.599	     1.020
01/26/2015	11:22:25.7	     0.599	     1.032
01/26/2015	11:22:26.2	     0.599	     1.033
01/26/2015	11:22:26.7	     0.599	     1.027
01/26/2015	11:22:27.2	     0.599	     1.032
01/26/2015	11:22:27.7	     0.599	     1.031
01/26/2015	11:22:28.2	     0.599	     1.035
01/26/2015	11:22:28.7	     0.599	     1.040
01/26/2015	11:22:29.2	     0.599	     1.040
01/26/2015	11:22:29.7	     0.599	     1.042
01/26/2015	11:22:30.2	     0.599	     1.046
01/26/2015	11:22:30.7	     0.599	     1.042
01/26/2015	11:22:31.2	     0.599	     1.043
01/26/2015	11:22:31.7	     0.599	     1.046
01/26/2015	11:22:32.2	     0.599	     1.047
01/26/2015	11:22:32.7	     0.599	     1.045
01/26/2015	11:22:33.2	     0.599	     1.045
01/26/2015	11:22:33.7	     0.599	     1.046
01/26/2015	11:22:34.2	     0.599	     1.047
01/26/2015	11:22:34.7	     0.599	     1.053
01/26/2015	11:22:35.2	     0.599	     1.056
01/26/2015	11:22:35.7	     0.600	     1.064
01/26/2015	11:22:36.2	     0.600	     1.063
01/26/2015	11:22:36.7	     0.600	     1.065
01/26/2015	11:22:37.2	     0.600	     1.067
01/26/2015	11:22:37.7	     0.600	     1.066
01/26/2015	11:22:38.2	     0.600	     1.067
01/26/2015	11:22:38.7	     0.600	     1.071
01/26/2015	11:22:39.2	     0.600	     1.072
01/26/2015	11:22:39.7	     0.599	     1.074
01/26/2015	11:22:40.2	     0.600	     1.079
01/26/2015	11:22:40.7	     0.600	     1.080
01/26/2015	11:22:41.2	     0.600	     1.081
01/26/2015	11:22:41.7	     0.600	     1.087
01/26/2015	11:22:42.2	     0.600	     1.090
01/26/2015	11:22:42.7	     0.600	     1.094
01/26/2015	11:22:43.2	     0.600	     1.098
01/26/2015	11:22:43.7	     0.600	     1.102
01/26/2015	11:22:44.2	     0.600	     1.104
01/26/2015	11:22:44.7	     0.600	     1.110
01/26/2015	11:22:45.2	     0.600	     1.116
01/26/2015	11:22:45.7	     0.600	     1.122
01/26/2015	11:22:46.2	     0.600	     1.131
01/26/2015	11:22:46.7	     0.600	     1.138
01/26/2015	11:22:47.2	     0.600	     1.147
01/26/2015	11:22:47.7	     0.600	     1.159
01/26/2015	11:22:48.2	     0.600	     1.174
01/26/2015	11:22:48.7	     0.600	     1.188
01/26/2015	11:22:49.2	     0.600	     1.201
01/26/2015	11:22:49.7	     0.600	     1.216
01/26/2015	11:22:50.2	     0.600	     1.228
01/26/2015	11:22:50.7	     0.600	     1.244
01/26/2015	11:22:51.2	     0.600	     1.259
01/26/2015	11:22:51.7	     0.600	     1.271
01/26/2015	11:22:52.2	     0.600	     1.289
01/26/2015	11:22:52.7	     0.600	     1.303
01/26/2015	11:22:53.2	     0.600	     1.317
01/26/2015	11:22:53.7	     0.600	     1.330
01/26/2015	11:22:54.2	     0.600	     1.338
01/26/2015	11:22:54.7	     0.600	     1.345
01/26/2015	11:22:55.2	     0.600	     1.346
01/26/2015	11:22:55.7	     0.600	     1.341
01/26/2015	11:22:56.2	     0.600	     1.340
01/26/2015	11:22:56.7	     0.600	     1.337
01/26/2015	11:22:57.2	     0.600	     1.333
01/26/2015	11:22:57.7	     0.600	     1.329
01/26/2015	11:22:58.2	     0.600	     1.322
01/26/2015	11:22:58.7	     0.600	     1.313
01/26/2015	11:22:59.2	     0.600	     1.313
01/26/2015	11:22:59.7	     0.600	     1.310
01/26/2015	11:23:00.2	     0.600	     1.303
01/26/2015	11:23:00.7	     0.600	     1.299
01/26/2015	11:23:01.2	     0.600	     1.296
01/26/2015	11:23:01.7	     0.600	     1.290
01/26/2015	11:23:02.2	     0.600	     1.288
01/26/2015	11:23:02.7	     0.600	     1.282
01/26/2015	11:23:03.2	     0.600	     1.275
01/26/2015	11:23:03.7	     0.600	     1.271
01/26/2015	11:23:04.2	     0.601	     1.268
01/26/2015	11:23:04.7	     0.601	     1.262
01/26/2015	11:23:05.2	     0.601	     1.258
01/26/2015	11:23:05.7	     0.601	     1.259
01/26/2015	11:23:06.2	     0.601	     1.256
01/26/2015	11:23:06.7	     0.601	     1.253
01/26/2015	11:23:07.2	     0.601	     1.250
01/26/2015	11:23:07.7	     0.601	     1.246
01/26/2015	11:23:08.2	     0.601	     1.243
01/26/2015	11:23:08.7	     0.601	     1.239
01/26/2015	11:23:09.2	     0.601	     1.235
01/26/2015	11:23:09.7	     0.601	     1.234
01/26/2015	11:23:10.2	     0.601	     1.231
01/26/2015	11:23:10.7	     0.601	     1.225
01/26/2015	11:23:11.2	     0.601	     1.221
01/26/2015	11:23:11.7	     0.601	     1.219
01/26/2015	11:23:12.2	     0.601	     1.214
01/26/2015	11:23:12.7	     0.602	     1.213
01/26/2015	11:23:13.2	     0.602	     1.212
01/26/2015	11:23:13.7	     0.602	     1.209
01/26/2015	11:23:14.2	     0.602	     1.205
01/26/2015	11:23:14.7	     0.602	     1.204
01/26/2015	11:23:15.2	     0.602	     1.202
01/26/2015	11:23:15.7	     0.602	     1.199
01/26/2015	11:23:16.2	     0.602	     1.197
01/26/2015	11:23:16.7	     0.602	     1.196
01/26/2015	11:23:17.2	     0.602	     1.192
01/26/2015	11:23:17.7	     0.602	     1.191
01/26/2015	11:23:18.2	     0.602	     1.188
01/26/2015	11:23:18.7	     0.602	     1.186
01/26/2015	11:23:19.2	     0.603	     1.184
01/26/2015	11:23:19.7	     0.603	     1.183
01/26/2015	11:23:20.2	     0.603	     1.180
01/26/2015	11:23:20.7	     0.603	     1.178
01/26/2015	11:23:21.2	     0.603	     1.174
01/26/2015	11:23:21.7	     0.603	     1.173
01/26/2015	11:23:22.2	     0.603	     1.173
01/26/2015	11:23:22.7	     0.603	     1.171
01/26/2015	11:23:23.2	     0.603	     1.168
01/26/2015	11:23:23.7	     0.603	     1.167
01/26/2015	11:23:24.2	     0.603	     1.166
01/26/2015	11:23:24.7	     0.603	     1.163
01/26/2015	11:23:25.2	     0.603	     1.160
01/26/2015	11:23:25.7	     0.603	     1.159
01/26/2015	11:23:26.2	     0.603	     1.157
01/26/2015	11:23:26.7	     0.603	     1.156
01/26/2015	11:23:27.2	     0.603	     1.155
01/26/2015	11:23:27.7	     0.603	     1.154
01/26/2015	11:23:28.2	     0.604	     1.150
01/26/2015	11:23:28.7	     0.604	     1.149
01/26/2015	11:23:29.2	     0.604	     1.147
01/26/2015	11:23:29.7	     0.604	     1.144
01/26/2015	11:23:30.2	     0.604	     1.144
01/26/2015	11:23:30.7	     0.604	     1.140
01/26/2015	11:23:31.2	     0.604	     1.138
01/26/2015	11:23:31.7	     0.604	     1.137
01/26/2015	11:23:32.2	     0.604	     1.137
01/26/2015	11:23:32.7	     0.604	     1.138
01/26/2015	11:23:33.2	     0.604	     1.135
01/26/2015	11:23:33.7	     0.604	     1.135
01/26/2015	11:23:34.2	     0.604	     1.134
01/26/2015	11:23:34.7	     0.604	     1.133
01/26/2015	11:23:35.2	     0.604	     1.130
01/26/2015	11:23:35.7	     0.604	     1.130
01/26/2015	11:23:36.2	     0.604	     1.129
01/26/2015	11:23:36.7	     0.605	     1.126
01/26/2015	11:23:37.2	     0.605	     1.125
01/26/2015	11:23:37.7	     0.605	     1.124
01/26/2015	11:23:38.2	     0.605	     1.124
01/26/2015	11:23:38.7	     0.604	     1.122
01/26/2015	11:23:39.2	     0.604	     1.121
01/26/2015	11:23:39.7	     0.605	     1.118
01/26/2015	11:23:40.2	     0.605	     1.118
01/26/2015	11:23:40.7	     0.605	     1.118
01/26/2015	11:23:41.2	     0.605	     1.117
01/26/2015	11:23:41.7	     0.605	     1.116
01/26/2015	11:23:42.2	     0.605	     1.113
01/26/2015	11:23:42.7	     0.605	     1.112
01/26/2015	11:23:43.2	     0.605	     1.109
01/26/2015	11:23:43.7	     0.605	     1.109
01/26/2015	11:23:44.2	     0.605	     1.109
01/26/2015	11:23:44.7	     0.605	     1.109
01/26/2015	11:23:45.2	     0.605	     1.106
01/26/2015	11:23:45.7	     0.605	     1.106
01/26/2015	11:23:46.2	     0.605	     1.106
01/26/2015	11:23:46.7	     0.605	     1.105
01/26/2015	11:23:47.2	     0.605	     1.103
01/26/2015	11:23:47.7	     0.605	     1.099
01/26/2015	11:23:48.2	     0.605	     1.099
01/26/2015	11:23:48.7	     0.605	     1.099
01/26/2015	11:23:49.2	     0.605	     1.099
01/26/2015	11:23:49.7	     0.605	     1.099
01/26/2015	11:23:50.2	     0.605	     1.096
01/26/2015	11:23:50.7	     0.605	     1.095
