VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	11:29:04	01/26/2015

USER	

START COMMENT

END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
01/26/2015	11:29:09.7	     0.604	     1.067
01/26/2015	11:29:10.2	     0.604	     1.074
01/26/2015	11:29:10.7	     0.604	     1.074
01/26/2015	11:29:11.2	     0.604	     1.073
01/26/2015	11:29:11.7	     0.603	     1.074
01/26/2015	11:29:12.2	     0.603	     1.074
01/26/2015	11:29:12.7	     0.603	     1.074
01/26/2015	11:29:13.2	     0.603	     1.074
01/26/2015	11:29:13.7	     0.603	     1.074
01/26/2015	11:29:14.2	     0.603	     1.074
01/26/2015	11:29:14.7	     0.603	     1.074
01/26/2015	11:29:15.2	     0.603	     1.074
01/26/2015	11:29:15.7	     0.603	     1.073
01/26/2015	11:29:16.2	     0.603	     1.072
01/26/2015	11:29:16.7	     0.603	     1.073
01/26/2015	11:29:17.2	     0.603	     1.073
01/26/2015	11:29:17.7	     0.603	     1.073
01/26/2015	11:29:18.2	     0.603	     1.072
01/26/2015	11:29:18.7	     0.602	     1.073
01/26/2015	11:29:19.2	     0.602	     1.072
01/26/2015	11:29:19.7	     0.602	     1.072
01/26/2015	11:29:20.2	     0.602	     1.072
01/26/2015	11:29:20.7	     0.602	     1.071
01/26/2015	11:29:21.2	     0.602	     1.072
01/26/2015	11:29:21.7	     0.602	     1.072
01/26/2015	11:29:22.2	     0.602	     1.071
01/26/2015	11:29:22.7	     0.602	     1.070
01/26/2015	11:29:23.2	     0.602	     0.959
01/26/2015	11:29:23.7	     0.602	     0.787
01/26/2015	11:29:24.2	     0.602	     0.667
01/26/2015	11:29:24.7	     0.602	     0.710
01/26/2015	11:29:25.2	     0.602	     0.710
01/26/2015	11:29:25.7	     0.602	     0.766
01/26/2015	11:29:26.2	     0.602	     0.890
01/26/2015	11:29:26.7	     0.602	     0.914
01/26/2015	11:29:27.2	     0.602	     0.879
01/26/2015	11:29:27.7	     0.602	     0.903
01/26/2015	11:29:28.2	     0.602	     0.826
01/26/2015	11:29:28.7	     0.602	     0.853
01/26/2015	11:29:29.2	     0.602	     0.843
01/26/2015	11:29:29.7	     0.602	     0.822
01/26/2015	11:29:30.2	     0.602	     0.829
01/26/2015	11:29:30.7	     0.602	     0.833
01/26/2015	11:29:31.2	     0.602	     0.834
01/26/2015	11:29:31.7	     0.602	     0.843
01/26/2015	11:29:32.2	     0.602	     0.848
01/26/2015	11:29:32.7	     0.602	     0.867
01/26/2015	11:29:33.2	     0.601	     0.865
01/26/2015	11:29:33.7	     0.601	     0.873
01/26/2015	11:29:34.2	     0.601	     0.903
01/26/2015	11:29:34.7	     0.601	     0.909
01/26/2015	11:29:35.2	     0.601	     0.907
01/26/2015	11:29:35.7	     0.601	     0.911
01/26/2015	11:29:36.2	     0.601	     0.910
01/26/2015	11:29:36.7	     0.601	     0.914
01/26/2015	11:29:37.2	     0.601	     0.915
01/26/2015	11:29:37.7	     0.601	     0.917
01/26/2015	11:29:38.2	     0.601	     0.922
01/26/2015	11:29:38.7	     0.601	     0.927
01/26/2015	11:29:39.2	     0.601	     0.922
01/26/2015	11:29:39.7	     0.601	     0.930
01/26/2015	11:29:40.2	     0.601	     0.931
01/26/2015	11:29:40.7	     0.601	     0.933
01/26/2015	11:29:41.2	     0.601	     0.937
01/26/2015	11:29:41.7	     0.600	     0.938
01/26/2015	11:29:42.2	     0.600	     0.942
01/26/2015	11:29:42.7	     0.600	     0.945
01/26/2015	11:29:43.2	     0.600	     0.947
01/26/2015	11:29:43.7	     0.600	     0.949
01/26/2015	11:29:44.2	     0.600	     0.950
01/26/2015	11:29:44.7	     0.600	     0.951
01/26/2015	11:29:45.2	     0.600	     0.954
01/26/2015	11:29:45.7	     0.600	     0.966
01/26/2015	11:29:46.2	     0.600	     0.970
01/26/2015	11:29:46.7	     0.600	     0.983
01/26/2015	11:29:47.2	     0.600	     0.995
01/26/2015	11:29:47.7	     0.600	     0.976
01/26/2015	11:29:48.2	     0.600	     0.983
01/26/2015	11:29:48.7	     0.600	     0.982
01/26/2015	11:29:49.2	     0.600	     0.990
01/26/2015	11:29:49.7	     0.600	     0.986
01/26/2015	11:29:50.2	     0.600	     0.985
01/26/2015	11:29:50.7	     0.600	     0.990
01/26/2015	11:29:51.2	     0.600	     0.991
01/26/2015	11:29:51.7	     0.600	     0.993
01/26/2015	11:29:52.2	     0.600	     1.000
01/26/2015	11:29:52.7	     0.600	     0.987
01/26/2015	11:29:53.2	     0.600	     0.995
01/26/2015	11:29:53.7	     0.600	     0.992
01/26/2015	11:29:54.2	     0.600	     1.003
01/26/2015	11:29:54.7	     0.600	     0.990
01/26/2015	11:29:55.2	     0.600	     0.993
01/26/2015	11:29:55.7	     0.600	     0.989
01/26/2015	11:29:56.2	     0.600	     0.987
01/26/2015	11:29:56.7	     0.600	     0.988
