VIRTUALBENCH-LOGGER 2.5 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	13:03:02	01/26/2015

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	AMPS(V)	PYRO(V)
01/26/2015	13:03:03.6	     0.605	     1.068
01/26/2015	13:03:04.1	     0.605	     1.075
01/26/2015	13:03:04.6	     0.605	     1.076
01/26/2015	13:03:05.1	     0.605	     1.075
01/26/2015	13:03:05.6	     0.604	     1.072
01/26/2015	13:03:06.1	     0.604	     1.073
01/26/2015	13:03:06.6	     0.604	     1.073
01/26/2015	13:03:07.1	     0.604	     1.073
01/26/2015	13:03:07.6	     0.604	     1.073
01/26/2015	13:03:08.1	     0.604	     1.073
01/26/2015	13:03:08.6	     0.604	     1.073
01/26/2015	13:03:09.1	     0.604	     1.073
01/26/2015	13:03:09.6	     0.604	     1.073
01/26/2015	13:03:10.1	     0.604	     1.074
01/26/2015	13:03:10.6	     0.604	     1.074
01/26/2015	13:03:11.1	     0.604	     1.073
01/26/2015	13:03:11.6	     0.604	     1.073
01/26/2015	13:03:12.1	     0.603	     1.072
01/26/2015	13:03:12.6	     0.603	     1.073
01/26/2015	13:03:13.1	     0.603	     1.072
01/26/2015	13:03:13.6	     0.603	     1.072
01/26/2015	13:03:14.1	     0.603	     1.072
01/26/2015	13:03:14.6	     0.603	     1.071
01/26/2015	13:03:15.1	     0.603	     1.008
01/26/2015	13:03:15.6	     0.603	     0.709
01/26/2015	13:03:16.1	     0.603	     0.706
01/26/2015	13:03:16.6	     0.603	     0.755
01/26/2015	13:03:17.1	     0.603	     0.863
01/26/2015	13:03:17.6	     0.603	     0.940
01/26/2015	13:03:18.1	     0.603	     0.908
01/26/2015	13:03:18.6	     0.603	     0.869
01/26/2015	13:03:19.1	     0.603	     0.841
01/26/2015	13:03:19.6	     0.603	     0.823
01/26/2015	13:03:20.1	     0.603	     0.752
01/26/2015	13:03:20.6	     0.603	     0.797
01/26/2015	13:03:21.1	     0.602	     0.827
01/26/2015	13:03:21.6	     0.602	     0.833
01/26/2015	13:03:22.1	     0.602	     0.809
01/26/2015	13:03:22.6	     0.602	     0.820
01/26/2015	13:03:23.1	     0.602	     0.822
01/26/2015	13:03:23.6	     0.602	     0.868
01/26/2015	13:03:24.1	     0.602	     0.871
01/26/2015	13:03:24.6	     0.602	     0.882
01/26/2015	13:03:25.1	     0.602	     0.888
01/26/2015	13:03:25.6	     0.602	     0.904
01/26/2015	13:03:26.1	     0.602	     0.908
01/26/2015	13:03:26.6	     0.602	     0.914
01/26/2015	13:03:27.1	     0.602	     0.920
01/26/2015	13:03:27.6	     0.602	     0.923
01/26/2015	13:03:28.1	     0.602	     0.936
01/26/2015	13:03:28.6	     0.602	     0.936
01/26/2015	13:03:29.1	     0.602	     0.938
01/26/2015	13:03:29.6	     0.602	     0.939
